t_lb,R_disc_birth_50,R_disc_birth_16,R_disc_birth_84,R_eff_birth_50,R_eff_birth_16,R_eff_birth_84
3.676767676767677,3.750589187535288,3.4384489563503244,4.096783388889426,6.605565997890269,6.0511791730802775,7.157847834771023
3.808080808080808,3.6642679282078454,3.3682158329937155,3.9959046895617476,6.452599598822948,5.883429524577931,6.934968603496004
3.93939393939394,3.565262243574008,3.2862722451409936,3.8751144586331896,6.23395401437422,5.742306125655073,6.749490621377034
4.070707070707071,3.459256359058918,3.19679964054229,3.7627915974078254,6.038870811211941,5.574834215321581,6.490724315314169
4.202020202020202,3.342342251086048,3.1019750824415664,3.6366049624420613,5.840690900427507,5.392366463441295,6.298992859809003
4.333333333333334,3.2133792603356865,2.989450562055727,3.5007613236675867,5.62412900400786,5.169928719934553,6.051391491546964
4.464646464646465,3.0816815526187225,2.8775251425502333,3.343996705083007,5.3790467724765,4.996402471967407,5.783371153535164
4.595959595959596,2.94994584144729,2.758953500614767,3.1857134031261305,5.154175450924437,4.796506847858163,5.517921259990173
4.727272727272728,2.8116093194693157,2.6405078781950113,3.022753251999361,4.891759228666032,4.5344202344590485,5.215924801895403
4.858585858585859,2.678186872932259,2.5248342582711993,2.859207506528323,4.631230986329322,4.345206804293649,4.91231547683235
4.989898989898991,2.5427131534337195,2.4100571116080105,2.702062304384615,4.39898858941206,4.155411325417822,4.643344110601854
5.121212121212122,2.415991426508721,2.3035775528638,2.5533326328362085,4.171179714405634,3.966464302353327,4.377731333367564
5.252525252525253,2.2979862297919085,2.192629140564878,2.4134529713783524,3.9542489607644904,3.762539867866177,4.143115854204286
5.383838383838384,2.1858829079371587,2.090273905410069,2.290698471683565,3.7522926961709686,3.571263850454092,3.916789454216279
5.515151515151516,2.0858046794050518,1.9948689246478168,2.1803966134362396,3.581764983201822,3.404448253720647,3.734308032657914
5.646464646464647,1.9896676175681085,1.9084686053688213,2.0797566282012823,3.4214687800559984,3.266259542126767,3.5600825217583094
5.777777777777779,1.9054247277639669,1.8282066463359874,1.9895608958294446,3.2680274025226987,3.1219024497229393,3.4061490917209607
5.90909090909091,1.8348700799330484,1.759222378485267,1.9124951696161745,3.148485179004578,3.0140081318062157,3.2722333929595933
6.040404040404041,1.7707720939872869,1.6988906044589198,1.8433445715959818,3.032913551404036,2.9116386403533805,3.152215341828019
6.171717171717172,1.7169582827880505,1.6476970619668982,1.7810497541404255,2.938006359385904,2.8142820712620615,3.0484029369047905
6.303030303030304,1.6680819508698779,1.604930343771797,1.726312613787487,2.8527521850005666,2.7442221835534,2.952165482155629
6.434343434343435,1.6230978396170215,1.5649216314751477,1.6783106765635403,2.7748896141563923,2.672718053154115,2.8699260256101304
6.565656565656567,1.5835179020229715,1.5296336351826252,1.6367143190798634,2.7049207250241487,2.59914685831027,2.7988576339691265
6.696969696969697,1.5496993652460942,1.4978525564255913,1.6017533376238042,2.64977044423304,2.561824163181682,2.735957678032088
6.828282828282829,1.5189563873316518,1.4697312455150457,1.5706944315587983,2.59259429812296,2.5048003340534044,2.6773996151294344
6.95959595959596,1.4911547360671522,1.4427797847858228,1.542475459287719,2.546531676223517,2.460595677473191,2.632159442839705
7.090909090909092,1.4671793449361554,1.4170630388157255,1.5184899886241292,2.5051954375868655,2.408745755349349,2.5887664387943095
7.222222222222223,1.4436959240396599,1.3937183439280054,1.4953280307267867,2.4661382933069627,2.3755934932169938,2.5482424542771116
7.353535353535355,1.4222710530252904,1.3742533282754001,1.4748477723674507,2.435262631835179,2.3597541770168915,2.5203404546371675
7.484848484848485,1.4023017473140447,1.3525651131925136,1.4519204952789546,2.394721055721079,2.3051891591767935,2.473757339239007
7.616161616161617,1.3823119520566816,1.3317504741889001,1.4315337337697762,2.3605620624805916,2.266290290095287,2.4422585570785644
7.747474747474748,1.3655386662620925,1.3115658103574925,1.410985517408878,2.3333582669204787,2.240159978348084,2.4120304776427988
7.87878787878788,1.347077910695028,1.2913852443828175,1.3913934858238568,2.3008446531916826,2.206398617409296,2.3810950699021154
8.01010101010101,1.3276805034364974,1.2700986959663194,1.3720061785265294,2.2718312619418772,2.1739793995807335,2.35293102254502
8.141414141414142,1.3079409082814306,1.2483827638865939,1.352066241928193,2.2382615784331676,2.1388169880872376,2.318102822806473
8.272727272727273,1.285799797596925,1.2253710390467931,1.3306031664791025,2.2001991979362296,2.106447939005768,2.282606717271141
8.404040404040405,1.263168618417385,1.2036139462962814,1.3093408917399456,2.1613838967297365,2.0660248551144114,2.2479336346821794
8.535353535353536,1.2394495994411407,1.1790892780599167,1.2836428188471432,2.123981479675426,2.0184996982285983,2.207543984677233
8.666666666666668,1.2132002439212672,1.155403750383404,1.2554848334718323,2.0765973266022373,1.9854539512447982,2.1514506701593943
8.7979797979798,1.1849720960329724,1.1297213782574425,1.2265959383031053,2.0297847254921693,1.9350610462580349,2.102802103515229
8.92929292929293,1.1559866215259107,1.1050781805663992,1.1954652868258149,1.97514550581145,1.8897464324553244,2.0454247082410553
9.060606060606062,1.1268619449176505,1.0796929608223151,1.1640371849351445,1.9273214596295465,1.8428223433447837,1.9937300871437131
9.191919191919192,1.098306628713535,1.0568694444536644,1.1323581425066616,1.874977988076903,1.804459500607388,1.9366580766870314
9.323232323232324,1.0697110171280357,1.0349708068259993,1.1033115820455963,1.8254870492552264,1.7555722577389432,1.880925862932149
9.454545454545457,1.041944137959729,1.0111360840136225,1.07524209773798,1.7779443228052565,1.7189803323080832,1.8288923992431367
9.585858585858588,1.0179191473409985,0.9879186211925635,1.0517959571114996,1.7385952536180564,1.6838966381666862,1.7938969896689376
9.717171717171718,0.9959694391122503,0.9653855385293895,1.0304444018734105,1.7018663815864077,1.6427632438523507,1.7567585949795121
9.84848484848485,0.9780834474986998,0.9464640492939985,1.011248904327802,1.669745765052082,1.6105901112794814,1.722716304392747
